category_id,job,role_iri
1,,https://example.org/culturalworks/film#Self
2,,https://example.org/culturalworks/ontology#Director
2,co-director,https://example.org/culturalworks/film#CoDirector
3,,https://example.org/culturalworks/film#Cinematographer
3,director of photography,https://example.org/culturalworks/film#Cinematographer
3,head director of photography,https://example.org/culturalworks/film#Cinematographer
4,,https://example.org/culturalworks/ontology#Composer
5,producer,https://example.org/culturalworks/ontology#Producer
6,,https://example.org/culturalworks/ontology#Editor
7,,https://example.org/culturalworks/ontology#Actor
8,,https://example.org/culturalworks/ontology#Actor
9,,https://example.org/culturalworks/imdb#Writer
9,writer,https://example.org/culturalworks/imdb#Writer
9,written by,https://example.org/culturalworks/imdb#Writer
9,screenplay by,https://example.org/culturalworks/imdb#Writer
9,screenplay,https://example.org/culturalworks/imdb#Writer
9,co-writer,https://example.org/culturalworks/imdb#Writer
9,scenario,https://example.org/culturalworks/imdb#Writer
9,dialogue,https://example.org/culturalworks/imdb#Writer
9,commentary,https://example.org/culturalworks/imdb#Writer
9,series devised by,https://example.org/culturalworks/film#SeriesCreator
9,creator,https://example.org/culturalworks/film#SeriesCreator
9,story editor,https://example.org/culturalworks/film#StoryEditor
9,Executive Story Editor,https://example.org/culturalworks/film#StoryEditor
9,head writer,https://example.org/culturalworks/film#HeadWriter
9,teleplay,https://example.org/culturalworks/film#Teleplay
9,novel,https://example.org/culturalworks/ontology#NovelAuthor
9,based on the novel by,https://example.org/culturalworks/ontology#NovelAuthor
9,libretto,https://example.org/culturalworks/ontology#LibrettoAuthor
9,story,https://example.org/culturalworks/ontology#StoryAuthor
9,idea,https://example.org/culturalworks/ontology#IdeaAuthor
10,,https://example.org/culturalworks/film#ProductionDesigner
11,,https://example.org/culturalworks/film#ArchiveFootage
