role_id,role_iri
1,http://localhost:3030/culturalworks/film#Soundtrack
2,http://localhost:3030/culturalworks/ontology#Actor
3,http://localhost:3030/culturalworks/ontology#Miscellaneous
4,http://localhost:3030/culturalworks/ontology#Actor
5,http://localhost:3030/culturalworks/ontology#Producer
6,http://localhost:3030/culturalworks/imdb#Writer
7,http://localhost:3030/culturalworks/ontology#Director
8,http://localhost:3030/culturalworks/film#MakeUpDepartment
9,http://localhost:3030/culturalworks/ontology#Composer
10,http://localhost:3030/culturalworks/film#MusicDepartment
11,http://localhost:3030/culturalworks/film#AssistantDirector
12,http://localhost:3030/culturalworks/film#CameraDepartment
13,http://localhost:3030/culturalworks/ontology#Editor
14,http://localhost:3030/culturalworks/film#Cinematographer
15,http://localhost:3030/culturalworks/film#CastingDirector
16,http://localhost:3030/culturalworks/film#SetDecorator
17,http://localhost:3030/culturalworks/film#ArtDirector
18,http://localhost:3030/culturalworks/film#Stunts
19,http://localhost:3030/culturalworks/film#EditorialDepartment
20,http://localhost:3030/culturalworks/film#CostumeDepartment
21,http://localhost:3030/culturalworks/film#AnimationDepartment
22,http://localhost:3030/culturalworks/film#ArtDepartment
23,http://localhost:3030/culturalworks/ontology#Executive
24,http://localhost:3030/culturalworks/film#SpecialEffects
25,http://localhost:3030/culturalworks/film#ProductionDesigner
26,http://localhost:3030/culturalworks/film#ProductionManager
27,http://localhost:3030/culturalworks/film#SoundDepartment
28,http://localhost:3030/culturalworks/ontology#TalentAgent
29,http://localhost:3030/culturalworks/film#CastingDepartment
30,http://localhost:3030/culturalworks/film#CostumeDesigner
31,http://localhost:3030/culturalworks/film#VisualEffects
32,http://localhost:3030/culturalworks/film#LocationManagement
33,http://localhost:3030/culturalworks/ontology#Manager
34,http://localhost:3030/culturalworks/film#TransportationDepartment
35,http://localhost:3030/culturalworks/ontology#Publicist
36,http://localhost:3030/culturalworks/ontology#Legal
37,http://localhost:3030/culturalworks/ontology#Assistant
38,http://localhost:3030/culturalworks/film#ElectricalDepartment
39,http://localhost:3030/culturalworks/film#ProductionDepartment
40,http://localhost:3030/culturalworks/film#ScriptDepartment
